Num,EntryDate,Study,Author,Country,Region,Latitude,Longitude,Elevation,Biome,Ecosystem_type,Ecosystem_state,Age_ecosystem,Age_disturbance,Species,Leaf_habit,Stage,Soil_type,Soil_drainage,Soil_BD,Soil_CN,Soil_sandsiltclay,MAT,MAP,PET,Study_temp,Study_precip,Study_midyear,YearsOfData,Site_name,Manipulation,Manipulation_level,Chamber_method,CO2_method,Partition_method,Rs_annual,Rs_spatial_err,Rs_interann_err,Rs_max,Rs_maxday,Rs_min,Rs_minday,Rlitter_annual,Ra_annual,Rh_annual,RC_annual,Rs_spring,Rs_summer,Rs_autumn,Rs_winter,Rs_growing,Rs_wet,Rs_dry,RC_seasonal,RC_season,Model_type,Temp_effect,Model_output_units,Model_temp_range,Model_N,Model_R2,T_depth,Model_paramA,Model_paramB,Model_paramC,Model_paramD,Model_paramE,WC_effect,R10,Q10_0_10,Q10_5_15,Q10_10_20,Q10_0_20,Q10_other1,Q10_other1_range,Q10_other2,Q10_other2_range,GPP,ER,NEP,NPP,ANPP,BNPP,NPP_FR,TBCA,Litter_flux,Rootlitter_flux,TotDet_flux,Ndep,CH4_flux,N2O_flux,LAI,BA,C_veg_total,C_AG,C_BG,C_CR,C_FR,C_litter,C_soilmineral,C_soildepth,Dupe_of,QC,Contributor,Notes
"11","9/26/2008","2534","Bond-Lamberty","Canada","Manitoba","55.86","-98.48","","Boreal","Forest","Natural","","20","Picea mariana; Pinus banksiana; Populus tremuloides","Mix","Aggrading","Luvic gleysol (Aqualf)","Wet","","","","0.8","450","","","","2001.5","1.5","BOREAS NSA-W1981","None","","Closed","IRGA","Exclusion","570","","","","","","","","216","354","0.38","","","","","3.20","","","0.37","Growing","Arrhenius, R=a*exp(-b/c(T-d)), T in K","Positive","umol/m2/s","3,22","67","0.80","2","19.040","80.340","1","251.000","","","1.56","3.09","2.22","1.81","2.36","1.50","5,15","1.30","15,25","","","310.0","584.0","556.1","27.9","27.4","","6.1","27.4","33.5","","","","0.1","0.2","620","360","390","260","130","","","","","Q02","BBL","LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)"
"12","9/26/2008","2534","Bond-Lamberty","Canada","Manitoba","55.92","-98.39","","Boreal","Forest","Natural","","37","Picea mariana; Pinus banksiana; Populus tremuloides","Evergreen","Aggrading","Luvic gleysol (Aqualf)","Wet","","","","0.8","450","","","","2001.5","1.5","BOREAS NSA-W1964","None","","Closed","IRGA","Exclusion","397","","","","","","","","67","330","0.17","","","","","2.08","","","0.15","Growing","Arrhenius, R=a*exp(-b/c(T-d)), T in K","Positive","umol/m2/s","3,22","96","0.91","2","24.750","85.600","1","251.000","","","1.73","3.33","2.34","1.88","2.50","1.50","5,15","1.30","15,25","","","174.0","429.0","379.6","49.4","20.3","","5.2","20.3","25.5","","","","0.3","2.2","2000","1800","350","200","150","","","","","Q02","BBL","LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)"
"13","9/26/2008","2534","Bond-Lamberty","Canada","Manitoba","55.91","-98.51","","Boreal","Forest","Natural","","71","Picea mariana","Evergreen","Mature","Luvic gleysol (Aqualf)","Wet","","","","0.8","450","","","","2001.5","1.5","BOREAS NSA-W1930","None","","Closed","IRGA","Exclusion","338","","","","","","","","48","290","0.14","","","","","1.60","","","0.18","Growing","Arrhenius, R=a*exp(-b/c(T-d)), T in K","Positive","umol/m2/s","3,22","92","0.90","2","12.720","65.100","1","251.000","","","1.68","2.49","1.91","1.62","2.01","1.50","5,15","1.30","15,25","","","94.0","326.0","233.1","93.0","42.0","","19.8","42.0","61.8","","","","3.0","20.3","3740","3400","480","340","140","","","","","Q02","BBL","LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)"
"14","9/26/2008","2534","Bond-Lamberty","Canada","Manitoba","55.88","-98.48","","Boreal","Forest","Natural","","151","Picea mariana","Evergreen","Mature","Luvic gleysol (Aqualf)","Wet","","","","0.8","450","","","","2001.5","1.5","BOREAS NSA-W1850; NOBS","None","","Closed","IRGA","Exclusion","375","","","","","","","","23","352","0.06","","","","","1.67","","","0.21","Growing","Arrhenius, R=a*exp(-b/c(T-d)), T in K","Positive","umol/m2/s","3,22","62","0.90","2","5.100","40.270","1","251.000","","","1.46","1.76","1.49","1.35","1.54","1.50","5,15","1.30","15,25","","","11.0","262.0","216.4","45.6","16.8","","13.4","16.8","30.2","","","","1.1","16.6","3350","3100","350","250","100","","","","","Q02","BBL","LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)"
"15","9/26/2008","2182","Wang","Canada","Manitoba","56.63","-99.94","","Boreal","Forest","Natural","","3","Picea mariana; Pinus banksiana; Populus tremuloides","Evergreen","Aggrading","Gray luvisol (Boralf)","Medium","","","","0.8","450","","","","1999.5","1.5","BOREAS NSA-D1998","None","","Closed","IRGA","","226","","","1.80","220","0.05","355","","","","","","","","","0.81","","","","","Exponential (2nd order), R=exp(a+b(T-d)+c(T-d)^2)","Positive","umol/m2/s","-3,14","","0.78","10","-4.216","0.398","-0.009","-10.000","","","1.26","3.83","1.59","","","27.50","0,5","","","","","-136.0","111.0","106.0","5.0","5.0","","0.0","5.0","5.0","","","","0.0","0.0","150","80","120","70","50","","41800","70","","Q02","BBL","LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)"
"16","9/26/2008","2182","Wang","Canada","Manitoba","56.46","-99.97","","Boreal","Forest","Natural","","6","Picea mariana; Pinus banksiana; Populus tremuloides","Deciduous","Aggrading","Gray luvisol (Boralf)","Dry","","","","0.8","450","","","","1999.5","1.5","BOREAS NSA-D1995","None","","Closed","IRGA","","412","","","3.10","220","0.05","110","","","","","","","","","1.49","","","","","Exponential (2nd order), R=exp(a+b(T-d)+c(T-d)^2)","Positive","umol/m2/s","-3,14","","0.78","10","-6.113","0.612","-0.013","-10.000","","","2.73","9.77","2.72","","","27.50","0,5","","","","","-134.0","188.5","183.5","5.0","20.3","","2.0","20.3","22.3","","","","0.1","0.5","130","90","70","40","30","","41800","70","","Q02","BBL","LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)"
"17","9/26/2008","2182","Wang","Canada","Manitoba","55.91","-98.98","","Boreal","Forest","Natural","","12","Picea mariana; Pinus banksiana; Populus tremuloides","Deciduous","Aggrading","Gray luvisol (Boralf)","Medium","","","","0.8","450","","","","1999.5","1.5","BOREAS NSA-D1989","None","","Closed","IRGA","","357","","","3.10","220","0.05","110","","","","","","","","","1.49","","","","","Exponential (2nd order), R=exp(a+b(T-d)+c(T-d)^2)","Positive","umol/m2/s","-3,14","","0.78","10","-6.113","0.612","-0.013","-10.000","","","2.73","9.77","2.72","","","27.50","0,5","","","","","-2.0","366.5","354.1","12.5","12.8","","17.5","12.8","30.3","","","","0.0","0.0","470","400","120","70","50","","41800","70","","Q02","BBL","LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)"
"18","9/26/2008","2182","Wang","Canada","Manitoba","55.86","-98.48","","Boreal","Forest","Natural","","20","Picea mariana; Pinus banksiana; Populus tremuloides","Mix","Aggrading","Gray luvisol (Boralf)","Dry","","","","0.8","450","","","","1999.5","1.5","BOREAS NSA-D1981","None","","Closed","IRGA","","413","","","3.10","220","0.05","110","","","","","","","","","1.49","","","","","Exponential (2nd order), R=exp(a+b(T-d)+c(T-d)^2)","Positive","umol/m2/s","-3,14","","0.78","10","-6.113","0.612","-0.013","-10.000","","","2.73","9.77","2.72","","","27.50","0,5","","","","","43.0","403.0","363.4","39.7","22.6","","31.3","22.6","53.9","","","","0.9","4.1","930","700","350","230","120","","41800","70","","Q02","BBL","LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)"
"19","9/26/2008","2182","Wang","Canada","Manitoba","55.92","-98.39","","Boreal","Forest","Natural","","37","Picea mariana; Pinus banksiana; Populus tremuloides","Evergreen","Aggrading","Gray luvisol (Boralf)","Medium","","","","0.8","450","","","","1999.5","1.5","BOREAS NSA-D1964","None","","Closed","IRGA","","350","","","3.10","220","0.05","110","","","","","","","","","1.49","","","","","Exponential (2nd order), R=exp(a+b(T-d)+c(T-d)^2)","Positive","umol/m2/s","-3,14","","0.78","10","-6.113","0.612","-0.013","-10.000","","","2.73","9.77","2.72","","","27.50","0,5","","","","","97.0","432.0","377.2","54.9","36.0","","30.8","36.0","66.8","","","","1.8","11.6","2100","1500","800","600","200","","41800","70","","Q02","BBL","LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)"
"20","9/26/2008","2182","Wang","Canada","Manitoba","55.91","-98.52","","Boreal","Forest","Natural","","71","Picea mariana","Evergreen","Mature","Gray luvisol (Boralf)","Medium","","","","0.8","450","","","","1999.5","1.5","BOREAS NSA-D1930","None","","Closed","IRGA","","274","","","3.10","220","0.05","110","","","","","","","","","1.49","","","","","Exponential (2nd order), R=exp(a+b(T-d)+c(T-d)^2)","Positive","umol/m2/s","-3,14","","0.78","10","-6.113","0.612","-0.013","-10.000","","","2.73","9.77","2.72","","","27.50","0,5","","","","","112.0","362.0","202.6","159.4","78.7","","59.6","78.7","138.3","","","","6.8","36.7","6470","5500","1220","970","250","","41800","70","","Q02","BBL","LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)"
"21","9/26/2008","2182","Wang","Canada","Manitoba","55.88","-98.48","","Boreal","Forest","Natural","","151","Picea mariana","Evergreen","Mature","Gray luvisol (Boralf)","Medium","","","","0.8","450","","","","1999.5","1.5","BOREAS NSA-D1850; NOBS","None","","Closed","IRGA","","244","","","3.10","220","0.05","110","","","","","","","","","1.49","","","","","Exponential (2nd order), R=exp(a+b(T-d)+c(T-d)^2)","Positive","umol/m2/s","-3,14","","0.78","10","-6.113","0.612","-0.013","-10.000","","","2.73","9.77","2.72","","","27.50","0,5","","","","","-19.0","211.0","147.1","63.9","74.5","","33.5","74.5","108.1","","","","5.3","42.2","8330","7100","1430","1230","200","","41800","70","","Q02","BBL","LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)"
"22","9/26/2008","2182","Wang","Canada","Manitoba","56.63","-99.94","","Boreal","Forest","Natural","","3","Picea mariana; Pinus banksiana; Populus tremuloides","Evergreen","Aggrading","Luvic gleysol (Aqualf)","Wet","","","","0.8","450","","","","1999.5","1.5","BOREAS NSA-W1998","None","","Closed","IRGA","","146","","","1.80","220","0.05","355","","","","","","","","","0.81","","","","","Exponential (2nd order), R=exp(a+b(T-d)+c(T-d)^2)","Positive","umol/m2/s","-3,14","","0.78","10","-4.557","0.610","-0.014","-10.000","","","8.05","6.90","1.72","","","27.50","0,5","","","","","-76.0","74.0","68.0","6.0","4.3","","0.0","4.3","4.3","","","","0.0","0.0","60","20","70","40","30","","","","","Q02","BBL","LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)"
"23","9/26/2008","2182","Wang","Canada","Manitoba","56.46","-99.98","","Boreal","Forest","Natural","","6","Picea mariana; Pinus banksiana; Populus tremuloides","Deciduous","Aggrading","Luvic gleysol (Aqualf)","Wet","","","","0.8","450","","","","1999.5","1.5","BOREAS NSA-W1995","None","","Closed","IRGA","","380","","","3.10","220","0.05","110","","","","","","","","","1.49","","","","","Exponential (2nd order), R=exp(a+b(T-d)+c(T-d)^2)","Positive","umol/m2/s","-3,14","","0.78","10","-8.454","0.822","-0.018","-10.000","","","2.28","17.29","2.89","","","27.50","0,5","","","","","131.0","490.0","456.4","33.6","34.6","","1.0","34.6","35.6","","","","0.0","0.0","400","100","450","300","150","","","","","Q02","BBL","LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)"
"24","9/26/2008","2182","Wang","Canada","Manitoba","55.90","-98.98","","Boreal","Forest","Natural","","12","Picea mariana; Pinus banksiana; Populus tremuloides","Deciduous","Aggrading","Luvic gleysol (Aqualf)","Wet","","","","0.8","450","","","","1999.5","1.5","BOREAS NSA-W1989","None","","Closed","IRGA","","300","","","3.10","220","0.05","110","","","","","","","","","1.49","","","","","Exponential (2nd order), R=exp(a+b(T-d)+c(T-d)^2)","Positive","umol/m2/s","-3,14","","0.78","10","-8.454","0.822","-0.018","-10.000","","","2.28","17.29","2.89","","","27.50","0,5","","","","","-30.0","261.0","223.3","37.7","30.6","","5.2","30.6","35.8","","","","0.0","0.0","610","350","390","260","130","","","","","Q02","BBL","LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)"
"25","9/26/2008","2182","Wang","Canada","Manitoba","55.86","-98.48","","Boreal","Forest","Natural","","20","Picea mariana; Pinus banksiana; Populus tremuloides","Mix","Aggrading","Luvic gleysol (Aqualf)","Wet","","","","0.8","450","","","","1999.5","1.5","BOREAS NSA-W1981","None","","Closed","IRGA","","303","","","3.10","220","0.05","110","","","","","","","","","1.49","","","","","Exponential (2nd order), R=exp(a+b(T-d)+c(T-d)^2)","Positive","umol/m2/s","-3,14","","0.78","10","-8.454","0.822","-0.018","-10.000","","","2.28","17.29","2.89","","","27.50","0,5","","","","","310.0","584.0","556.1","27.9","27.4","","6.1","27.4","33.5","","","","0.1","0.2","620","360","390","260","130","","","","","Q02","BBL","LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)"
"26","9/26/2008","2182","Wang","Canada","Manitoba","55.92","-98.39","","Boreal","Forest","Natural","","37","Picea mariana; Pinus banksiana; Populus tremuloides","Evergreen","Aggrading","Luvic gleysol (Aqualf)","Wet","","","","0.8","450","","","","1999.5","1.5","BOREAS NSA-W1964","None","","Closed","IRGA","","256","","","3.10","220","0.05","110","","","","","","","","","1.49","","","","","Exponential (2nd order), R=exp(a+b(T-d)+c(T-d)^2)","Positive","umol/m2/s","-3,14","","0.78","10","-8.454","0.822","-0.018","-10.000","","","2.28","17.29","2.89","","","27.50","0,5","","","","","174.0","429.0","379.6","49.4","20.3","","5.2","20.3","25.5","","","","0.3","2.2","2000","1800","350","200","150","","","","","Q02","BBL","LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)"
"27","9/26/2008","2182","Wang","Canada","Manitoba","55.91","-98.51","","Boreal","Forest","Natural","","71","Picea mariana","Evergreen","Mature","Luvic gleysol (Aqualf)","Wet","","","","0.8","450","","","","1999.5","1.5","BOREAS NSA-W1930","None","","Closed","IRGA","","233","","","3.10","220","0.05","110","","","","","","","","","1.49","","","","","Exponential (2nd order), R=exp(a+b(T-d)+c(T-d)^2)","Positive","umol/m2/s","-3,14","","0.78","10","-8.454","0.822","-0.018","-10.000","","","2.28","17.29","2.89","","","27.50","0,5","","","","","94.0","326.0","233.1","93.0","42.0","","19.8","42.0","61.8","","","","3.0","20.3","3740","3400","480","340","140","","","","","Q02","BBL","LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)"
"28","9/26/2008","2182","Wang","Canada","Manitoba","55.88","-98.48","","Boreal","Forest","Natural","","151","Picea mariana","Evergreen","Mature","Luvic gleysol (Aqualf)","Wet","","","","0.8","450","","","","1999.5","1.5","BOREAS NSA-W1850; NOBS","None","","Closed","IRGA","","264","","","3.10","220","0.05","110","","","","","","","","","1.49","","","","","Exponential (2nd order), R=exp(a+b(T-d)+c(T-d)^2)","Positive","umol/m2/s","-3,14","","0.78","10","-8.454","0.822","-0.018","-10.000","","","2.28","17.29","2.89","","","27.50","0,5","","","","","11.0","262.0","216.4","45.6","16.8","","13.4","16.8","30.2","","","","1.1","16.6","3350","3100","350","250","100","","","","","Q02","BBL","LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)"
"29","10/1/2008","469","Ewel","USA","Florida","29.95","-82.11","","Temperate","Forest","Managed","","9","Pinus elliottii","Evergreen","Aggrading","Ultic Haplaquod","Dry","","","","","","","","","1984.0","1.0","Ewel9","None","","","IRGA","Exclusion","850","","","","","","","","434","417","0.51","","","","","","","","","","","Positive","","","","","","","","","","","","","","","","","","","","","","","","","","","","","338.0","","","","","","","","","","","","","","11900","100","","Q02","BBL","Litter data are from Gholz 1985, different sites"
"30","10/1/2008","469","Ewel","USA","Florida","29.95","-82.11","","Temperate","Forest","Managed","","29","Pinus elliottii","Evergreen","Mature","Ultic Haplaquod","Dry","","","","","","","","","1984.0","1.0","Ewel29","None","","","IRGA","Exclusion","1300","","","","","","","","806","494","0.62","","","","","","","","","","","Positive","","","","","","","","","","","","","","","","","","","","","","","","","","","","","358.0","","","","","","","","","","","","","","10300","100","","Q02","BBL","Litter data are from Gholz 1985, different sites"
"31","10/1/2008","148","Edwards","USA","Tennessee","35.99","-84.29","","Temperate","Forest","Natural","","50","Liriodendron tulipifera","Deciduous","Mature","Emory cherty silt loam","Dry","","","","13.3","1265","","","","1977.0","1.0","Oak Ridge","None","","","IRGA","Extraction","1065","","","6.58","250","0.00","70","","373","692","0.35","","","","","","","","","","","Positive","","","","","","","","","","","","","","","","","","","","","1750.0","","","","","","450.0","","161.0","450.0","611.0","","","","","","","","","","340","","12850","60","","Q01","BBL","Site previously desribed by Sollins (1973) and Reichle (1973); Rs_max estimated from figure"
"32","10/1/2008","4179","Edwards","USA","Tennessee","35.99","-84.29","","Temperate","Forest","Natural","","50","Liriodendron tulipifera","Deciduous","Mature","Emory cherty silt loam","Dry","","","","13.3","1265","","","","1977.0","1.0","Oak Ridge","None","","","IRGA","","1036","","","5.79","270","0.39","80","","","","","","","","","","","","","","","Positive","","","","","","","","","","","","","","","","","","","","","1750.0","","","","","","450.0","","161.0","450.0","611.0","","","","","","","","","","","","","","","","BBL",""
"33","10/1/2008","951","Haynes","USA","Wisconsin","46.17","-89.67","","Temperate","Forest","Managed","","31","Pinus resinosa","Evergreen","Mature","Haplorthod (loamy fine sand)","Dry","","","","4.2","586","","","","1991.0","1.0","Haynes1","None","","Closed","Soda lime","Exclusion","541","30","29","","","","","","362","496","0.42","","","","","","","","","","Exponential (other), R=a 10^(b(T-c))","Positive","mg CO2/m2/hr","","","0.80","10","0.158","0.023","0.000","","","","1.68","1.70","1.70","1.70","1.70","1.94","0,20","","","","","","","","","215.5","758.0","146.0","205.2","351.2","","","","","42.4","","","","","431","","","","","","BBL",""
